order_date,region,product,quantity,unit_price
2025-07-23,North,Monitor,5,25
2025-09-24,West,Tablet,6,25
2025-06-02,East,Laptop,6,40
2025-01-10,South,Tablet,1,650
2025-08-22,South,Keyboard,6,75
2025-08-15,West,Laptop,4,350
2025-07-16,North,Monitor,3,75
2025-04-20,East,Keyboard,4,40
2025-01-06,North,Monitor,7,75
2025-06-25,North,Laptop,7,25
2025-08-26,East,Mouse,6,350
2025-02-27,West,Mouse,4,40
2025-08-07,East,Laptop,6,75
2025-02-15,West,Monitor,3,650
2025-07-02,East,Monitor,5,120
2025-08-10,West,Mouse,5,75
2025-10-17,East,Mouse,2,120
2025-07-31,North,Mouse,2,350
2025-05-29,West,Tablet,1,40
2025-06-15,South,Mouse,1,120
2025-03-20,East,Monitor,4,650
2025-04-24,South,Laptop,4,120
2025-09-07,North,Mouse,2,75
2025-09-08,West,Tablet,3,25
2025-04-15,West,Tablet,5,40
2025-02-12,East,Monitor,2,650
2025-10-09,South,Monitor,3,120
2025-10-23,West,Laptop,3,40
2025-06-07,East,Laptop,4,75
2025-08-27,South,Keyboard,3,120
2025-01-18,South,Keyboard,6,120
2025-06-14,North,Monitor,3,350
2025-02-03,North,Monitor,4,40
2025-01-25,East,Tablet,3,120
2025-08-04,West,Keyboard,2,75
2025-04-30,North,Tablet,5,650
2025-01-08,West,Tablet,2,25
2025-04-01,West,Monitor,3,25
2025-02-16,South,Monitor,6,75
2025-03-15,East,Tablet,7,120
2025-04-04,North,Mouse,5,350
2025-03-18,West,Monitor,7,75
2025-10-14,East,Mouse,6,650
2025-03-02,South,Keyboard,4,75
2025-03-19,North,Tablet,6,25
2025-03-05,West,Monitor,3,25
2025-08-23,South,Tablet,4,650
2025-08-18,West,Tablet,4,25
2025-04-22,East,Laptop,7,650
2025-08-20,West,Laptop,6,40
2025-06-30,West,Keyboard,4,25
2025-05-25,North,Laptop,5,40
2025-08-28,South,Monitor,2,120
2025-03-17,South,Keyboard,6,75
2025-10-25,South,Tablet,4,350
2025-10-06,North,Tablet,4,120
2025-04-08,East,Laptop,6,75
2025-04-03,North,Tablet,5,120
2025-07-12,East,Laptop,1,650
2025-01-26,East,Mouse,3,75
2025-08-21,West,Tablet,2,25
2025-03-01,East,Tablet,6,75
2025-01-07,South,Monitor,1,650
2025-07-05,West,Tablet,2,40
2025-06-23,South,Laptop,5,650
2025-01-31,South,Keyboard,5,120
2025-01-23,West,Keyboard,4,120
2025-09-14,South,Monitor,7,40
2025-02-26,North,Laptop,7,650
2025-07-06,South,Mouse,1,25
2025-04-19,West,Monitor,7,40
2025-05-07,North,Mouse,5,75
2025-08-19,South,Keyboard,5,75
2025-07-13,North,Monitor,1,75
2025-05-10,East,Tablet,5,25
2025-10-10,South,Laptop,6,40
2025-03-24,South,Mouse,5,25
2025-03-26,North,Mouse,1,120
2025-03-08,East,Monitor,4,75
2025-10-16,East,Monitor,7,120
2025-06-13,West,Laptop,6,120
2025-06-04,South,Tablet,1,350
2025-01-20,North,Tablet,7,120
2025-05-05,West,Monitor,7,120
2025-03-21,East,Laptop,2,120
2025-04-25,East,Laptop,6,120
2025-04-29,North,Laptop,3,120
2025-03-14,South,Tablet,5,40
2025-01-16,West,Tablet,4,40
2025-01-11,West,Laptop,6,350
2025-07-14,South,Mouse,7,75
2025-04-12,West,Laptop,6,120
2025-03-10,West,Monitor,7,40
2025-08-13,South,Keyboard,7,75
2025-02-07,West,Mouse,1,120
2025-01-17,South,Tablet,2,120
2025-06-29,North,Laptop,6,120
2025-05-28,East,Laptop,5,75
2025-10-02,East,Monitor,1,650
2025-03-09,North,Monitor,1,120
2025-08-17,West,Tablet,4,350
2025-03-11,North,Mouse,5,350
2025-02-01,West,Monitor,2,120
2025-07-03,North,Tablet,2,650
2025-09-23,West,Keyboard,1,25
2025-08-14,West,Keyboard,4,650
2025-05-21,West,Keyboard,1,650
2025-01-19,East,Laptop,5,120
2025-07-01,South,Tablet,4,350
2025-04-07,East,Laptop,4,120
2025-05-13,South,Laptop,5,40
2025-09-20,West,Monitor,4,350
2025-03-28,East,Monitor,6,40
2025-09-06,South,Laptop,6,40
2025-09-03,East,Laptop,7,120
2025-04-27,East,Mouse,6,650
2025-05-27,North,Tablet,4,75
